no,telemedicine,review,label
36,yesdok,"Aplikasi yang sangat bermanfaat untuk saya untuk mengecek soal kesehatan, ada fitur live chat juga untuk konsultasi langsung jadi kita makin memudahkan kita buat tanya jawab lgsg sama ahlinya. Selain itu adanya fitur bayarnya juga termasuk lengkap karena selain bisa bayar pakai virtual account bisa juga pakai ewallet jadi malin praktis",positif
37,yesdok,"Aplikasi yang menarik dan sangat bermanfaat, jadi Ndak perlu jauh-jauh lagi untuk periksa kesehatan atau beli obat. Dengan adanya aplikasi ini sangat membantu. Tampilannya juga menarik ngk bikin bosan. Topp",positif
38,yesdok,"aplikasinya bagus sangat cocok untuk saya dan keluarga, mudah dipahami penjelasan dari dokternya, ayo buruan donlod, app ini benar membantu saya juga keluarga ya meminimalisir ongkos untuk berobat dan transportasi saya dan keluarga tanpa harus kerumah sakit atau puskemas terdekat⭐ top rating untuk app ini",positif
39,yesdok,"Aplikasinya sangat membantu dalam hal kesehatan, saya tipe orang yg susah diajak ke dokter untuk periksa karena malas. Tapi dgn aplikasi ini jadi lebih dimudahkan terkait diagnosa2 awal. Meskipun awalnya agak bingung, tapi ternyata mudah digunakan. Ehehe.. Terimakasih banyak sudah membuat aplikasi yg bermanfaat. Semoga semakin berkembang.. 😊😊",positif
40,yesdok,"menurut saya,yesdok ini dapat mempermudah orang"" yang sedang sakit,karena fasilitas konsultasi yang ditawarkan sangat bermanfaat, serta tampilan aplikasi yang didesign sangat variable,sehingga tidak membosankn tampilan aplikasinya",positif
41,yesdok,"Aplikasi yg sangat praktis,untuk berkomunikasi dengan dokter handal disaat kita mengalami gangguan kesehatan sewaktu-waktu. Selain itu kita jg dapat berkonsultasi langsung dengan dokter-dokter pilihan",positif
42,yesdok,"Aplikasi yesdok ini sangat bagus, sangat berguna untuk memudahkan kita untuk konsultasi secara online mengenai medis. Dan ga perlu repot pergi ke dokter. Interface nya juga sangat mudah di pahami. Dan banyak fitur dan poin yg bisa di tukarkan untuk mengisi saldo di dalamnya. Sangat enjoy deh pokoknya :)",positif
43,yesdok,"App.yesdok sangat bermanfaat sekali .karna dg app. ini bisa lebih mudah dan cepat untuk konsultasi pada dokter2 ternama ,penanganannya ,pengobatanny dan pemecahan masalahny kapanpun itu. suksess tyuzz yesdok.",positif
44,yesdok,"Aku suka banget sama aplikasi ini karena sangat informatif sekali dan dokter nya ramah"" semua. Aku sangat menyarankan aplikasi ini buat yang tidak bisa bertatap muka secara langsung dengan para dokter untuk melakukan konsultasi, jadi bisa melalui aplikasi ini. Terimakasih YesDok 👍",positif
45,yesdok,"Aplikasinya bagus, dan untuk pembayarannya mudah banget karena bisa melakukan pembayaran melalui akun dana, link dan debet. Kosultasinya juga asik.",positif
46,yesdok,"Yesdok merupakan aplikasi yang sesuai sangat mudah, bisa digunakan kapan saja, tidak terkendala oleh waktu, cocok sekali untuk orang yang sibuk seperti saya ini. Pembayaran nya juga bisa via e wallet. Dengan adanya yesdok kita bisa menge-cek kesehatan kita hanya dengan aplikasi. Terimakasih yesdok",positif
47,yesdok,"Aplikasi masih menggunakan bahasa Inggris yang gak semua kalangan bisa memakainya, tapi secara ide sudah cukup bagus untuk menyediakan sarana komunikasi antara pasien dan dokter tanpa harus antri sana sini. Mohon diperbaiki lagi.",positif
48,yesdok,"Aplikasi yang memberikan solusi tentang konsultasi kesehatan. Banyak bgt pilihan concern penyakitnya, dan keren bgt sih karena baru diaplikasi ini kita bisa telepon atau videocall sama dokter, jadi mereka bener2 tau kondisi kita dan responsif bgt sih. Rekomendasi buat org2 yg sibuk dan punya mobilitas tinggi tapi masih care sama kesehatannya. TOP!",positif
49,yesdok,"aplikasinya bagus. konsul juga gampang ga pake ribet. bisa dapet rekomen obat. tapi 1 METODE PEMBAYARAN OBATNYA KURANG ! Masa hanya melalui BCA virtual account/kartu kredit. kalau yg lain ga punya bagaimana. tambahin lah biar bisa dengan mdah beli obat melalui app ini , selebihnya ok. hanya itu yg kurang",positif
50,yesdok,"Aplikasi ini keren banget sih, tanya tanya kesehatan gak perlu susah bolak balik ke rs apalagi ke dokter. apalagi pandemi gini, cocok banget digunain soalnya lebih praktis dan efisien. ga perlu keluar rumah terus2an. Thanks yesdok, pertahankan dan tingkatkan kualitasnya 👍🏻",positif
51,yesdok,"Aplikasi yang sangat berguna sekali, bermanfaat tentunya. Konsultasi 24 jam tanpa kendorr. Terus semangat untuk Yesdok, dan berkembang tentunya. Sehingga menjadi aplikasi yang rekomendasi.",positif
52,yesdok,"Karna kesehatan itu penting jadi saya instal aplikasi ini. Penggunaannya mudah, yg terpenting saya bisa konsultasi masalah kesehatan kapanpun dimanapun oleh para pakar melalui voice call atau video call. Sangat recomen bgt nih aplikasi, terpercaya dan sangat bermanfaat bgt.",positif
53,yesdok,"Aplikasi sangat membantu banget, mudah minta konsultan berbagai macam penyakit dan tidak ribet, apalagi bisa bicara langsung sama dokter jadi bisa dimengerti keluhan apa saja yang kita ajukan kesana, pokonya mantap banget",positif
54,yesdok,Mau daftar kenapa gk pernah bisa sampe jempol mau copot rasanya Udah ganti pake fb pake email biasa Gk bisa2 Padahap baru di update,negatif
55,yesdok,"Yes dok adalah aplikasi yang sangat membantu bagi masyarakat. Tak perlu lagi jauh jauh untuk tanya tentang kesehatan, sekarang dirumah pun kami bisa berkonsultasi dengan yes dok. Pelayananannya sangat ramah, terimakasih yes dok :)",positif
56,yesdok,"Aplikasi yang membantu dalam hal kesehatan , sangat berguna jg untuk sekedar edukasi agar dapat terhindar dari penyakit yang di derita / kemungkinan penyakit yg dapat di alami , dan dapat juga sebagai wadah info menangani mengenai riwayat penyakit ringan . Sangat membantu sekali👍🏻",positif
57,yesdok,Aplikasi yesdok ini sangat membantu untuk konsultasi tanpa kendala waktu dan transportasi. selain itu penjelasan dokter juga mudah dipahami dan sangat rinci. Serta tersedia promo harga terbaik. Sangat recomended👍🏻,positif
58,yesdok,"Bagus nihh aplikasi nya, bisa konsultasi sama dokter melalui videocall maupun voice call, cuman UI nya kurang menarik, font nya terlalu besar, mungkin nanti bisa di perbaiki",positif
59,yesdok,"Aplikasi yang bagus banget.. gampang digunakan Pelayanan 24 jam. Gak hanya chat juga bisa video call sama dokter profesional. Pembayaran mudah dengan dompet digital sperti link, dana dll atau kamu bisa kumpulin poin dgn baca artikel untuk ditukar dengan paket konsultasi gratis.",positif
60,yesdok,"Artikel yang diposting sangat membantu menambah wawasan tentang kesehatan, juga ada fitur konsultasi langsung yang membantu pasien yang tidak bisa bertatap muka langsung dengan dokter, ya walaupun saya belum mencoba fitur ini. Keseluruhannya top deh app ini, sukses selalu",positif
61,yesdok,"Aplikasinya bagus bangat buat konsul, apalagi buat masyarakat awam yang langsung menyimpulkan sebuah penyakit hanya dengan melihat kondisi luarnya saja padahal sebuah penyakit perlu pengkajian tertentu. Dengan adanya aplikasi ini, sangat membantu apalagi mereka yang jauh rumahnya dari pusat kesehatan",positif
62,yesdok,"Aplikasi yang sangat keren dan membantu bangeet, kalau masih dirasa sakit ringan ga perlu ngantri ke dokter buat periksa karna di app ini bisa tanya sama dokter yang sudah profesional dan ga perlu ngantri di puskesmas ataupun rs... kalau lagi panik pas sakit dan jauh dari rs juga bisa langsung tanya di yesdok karna responya cepat jadi dapat di tangani dengan cepat juga sakitnya... makasi yesdok... uwuuu...",positif
63,yesdok,"Aplikasi sangat bermanfaat dan membantu sekali, sekarang pakai aplikasi gk harus antri lagi, karna konsultasi bisa melalui aplikasi ini, mudah dan tidak ribet, keluhan apa saja bisa di pertanyakan, pokoknya aplikasi ini mantap banget, joss Salam sehat, salam keluarga",positif
64,yesdok,"Aplikasinya sangat efisien dan mudah di gunakan, saya tidak perlu jauh jauh untuk konsultasi, menggunakan hp pun bisa dan di yesdok dokternya professional dan pelayanannya sangat ramah",positif
65,yesdok,"Terbantu sekali dengan adanya aplikasi ini, mau konsultasi masalah apapun dan kapan pun bisa langsung direspon oleh dokternya yang berpengalaman. Ga perlu bingung juga masalah obat yg harus dibeli, bisa sekalian konsul. apalgi buat mahasiswa kyk aku yg mager banget harus ke rs/klinik. 👍",positif
66,yesdok,"Terima kasih YesDok, dgn adanya aplikasi YesDok saya sangat terbantu sekali , saya bisa konsultasi kesehatan sama dokter2 yang profesional yg ahli dibidang ny secara online tanpa perlu datang langsung ke tempat praktek. Apps nya bagus, tmpilan keren tdk hanya konsultasi melalui teks dan telpon kita jg bisa konsultasi lwt video.",positif
67,yesdok,"Aplikasi yang sangat membantu dalam hal kesehatan, kita bisa konsultasi tidak hanya via chating saja tapi bisa live video chat dengan para dokter profesional. sangat super sekali jadi dalam hal konsultasi sperti halnya kita bertemu langsung dgn dokter nya,, succeed for this apps and good for your health guys use this apps",positif
68,yesdok,"Aplikasi bagus,, karena aplikasi ini saya bisa kosultasi langsung ke dokter profesional secara online,, karena bagi saya konsulatasi secra langsung ke dokter terdekat itu ribet harus antri, dan waktu saya angat sempit jika harus antri,, terimaksih YesDok🙏",positif
69,yesdok,Aplikasinya friendly banget. Mudah di mengerti dan data diri juga di enskripsi jadi gak takut bocor datanya. Untuk pelayanannya juga bagus banget.,positif
70,yesdok,"Pelayanan cepat, UI nya ramah, Kualitas terjamin, Informasi Akurat dan aktual, Sederhana namun kompleks, wajar sekali klo banyak orang puas menggunakan aplikasi YesDok ini. Intinya Great Revolutionary Apps👍😊😍😇",positif
71,yesdok,"Wahh Aplikasi Yesdok sangat bagus dan bermanfaat. Di tengah keadaan pandemi Covid 19 yang sedang meluas, aplikasi Yesdok sangat berguna dan dapat digunakan untuk berkonsultasi, aplikasi ini juga gampang digunakan apalagi bagi saya seorang anak kos. Terimakasih Yesdok !",positif
72,yesdok,"Semenjak punya aplikasi ini aku berasa punya dokter pribadi. Sering kali aku mendapatkan masalah kesehatan yang membuat aku ingin konsultasi tapi sebagai mahasiswa kadang gaada waktu buat ke rumah sakit ditambah jarak yg lumayan jauh,makin mager deh, jadiii aplikasi ini betul betul solusi!! Terimakasih banyak❤️",positif
73,yesdok,"Terima kasih Yes Dok....aplikasi praktis untuk konsultasi kesehatan, dokter-dokternya juga ramah, baik, dan menjawab semua keluhan kita, pokoknya recommended deh,, aplikasinya juga ada artikel kesehatan yg bisa nambah wawasan kita plus nambah poin kita juga...hehe thanks a lot YesDok...🙏😇🤩",positif
74,yesdok,"Aplikasinya sangat bagus sekali ,sangat bisa membantu saya dalam berkonsultasi ,saya jadi gak perlu repot-repot ke RS ada masalah tentang kesehatan tinggal buka aplikasi yes dok dan bisa langsung video call sama dokter , dokternya sangat profesional lagi , aplikasi yes dok memang bagus layanan kesehatan nya 24 jam nonstop , recommended buat kalian buruan daftar",positif
75,yesdok,"Mantappp aplikasinya, cukup membantu kalau saya malas keluar buat ke dokter hehe. Bisa digunakan kapanpun dan dimanapun. Terimakasih yesdok, semoga bisa terus ditingkatkan performa aplikasinya, sejauh ini okeyyy bangett",positif
76,yesdok,"Aplikasi yang bermanfaat.. gak perlu repot jauh2 kedokter saat darurat , atau bisa digunakan pada saat santai sekedar nanya2 penyakit yang dirasakan Serius.. sangat bermanfaat , thankyou Yesdok sangat membantu.",positif
77,yesdok,"Wah lumayan bagus deh aplikasi ini sangat membantu,tapi kekurangannya tuh jawaban dokternya sedikit lambat, tapi bagus kok app nya dan Kembangkan lagi, saran aja bisa kalo chat dgn dokter sertakan foto keluhannya, untuk penyakit luar",positif
78,yesdok,"YesDok layanannya cukup baik dan responsif banget. Interface aplikasinya juga sangat memadai dan mudah dipahami, buat dokternya baik-baik dan fast respon.",positif
79,yesdok,Aplikasi nya sangat bagus dan membantu kalau seketika jatuh sakit atau terkena penyakit yang serius. Langsung bisa menghubungi dokter nya juga. Jadi bisa gampang kasih tau apa yang dirasakan.,positif
80,yesdok,Menurut saya aplikasi ini sangat membantu untuk orang2 yang ingin mendapatkan konsultasi kesehatan secara langsung dimanapun dan kapanpun. Bisa melalui telepon atau vc. Banyak artikel2 bermanfaat jg yg bsa kita baca.,positif
81,yesdok,"Aplikasi inu sangat membantu saya baik berupa fitur yang komplit dan juga tampilan antar muka yang sangat menarik dan tidak membosankan,aplikasi ini memudahkan sekali bagi yang sibuk dan jarang memiliki waktu untuk bisa konsultasi ke dokter atau tenaga kesehatan",positif
82,yesdok,"Wahh menariikkkk sekali,,,,!!!! Konsultasi dengan dokter sekarang lebih gampang dan gk ribet lagi,,, kerenny aplikasi ini bisa vidio call jd bisa langsung tatap muka,,, benaran aplikasi mantul,,,,",positif
83,yesdok,Cukup bagus untuk yang ingin berkonsultasi ttg brbagai keluhan kesehan dan untuk pembayaran juga mudah secara bahasa juga ada 2 jenis jadi mudah di pahami,positif
84,yesdok,"Makin hari makin bagus aja aplikasi YESDOK, mulai dari tampilan UI nya dan lain lain. Apalagi aplikasi YESDOK memberikan paket staterpack secara cuma² untuk orang yang sedang ulangtahun, hal kecil namun berarti. Semoga makin sukses YESDOK, dan makin bagus kedepannya",positif
85,yesdok,"Gokil, aplikasi paling bermanfaat sejagat raya. Selain bisa berkonsultasi dgn dokter secara lgsung, fiturnya pun mudah digunakan, banyak artikel2 kesehatan yg bisa membantu kita mengenali gejala2 penyakit yg seringkali hinggap di diri kita. Thanks yesdok",positif
86,yesdok,Karna mw digunakan malah aplikasi di perbaharui tpi diperbaharui mlh nga bsa..jdi nga bsa kebuka percuma dong sya punya bonus mlh nga bsa dipergunakan😠,negatif
87,yesdok,"Bermanfaat sekali aplikasi ini, saya terbantu sekali dengan applikasi ini dengan fitur2 yg mudah dipahami jg sekaligus konsultasinya jg ok, saya dan keluarga jadi tambah mengerti pentingnya kesehatan buat kami... Bravoo...",positif
88,yesdok,"Aplikasi yesdok sangat bagus sekali ,saya bisa konsultasi tentang kesehatan langsung lewat video call ,gak perlu repot-repot ke rumh sakit ,dan cara penggunaannya gampang sekali , semenjak pakai aplikasi yesdok saya jadi bisa konsultasi 24 jam ,dan pembayaran nya juga sangat gampang karna aplikasi ini sudah di lengkapi dompet digital , aplikasi yesdok memang mantappppppp👍👍👍👍",positif
89,yesdok,"Aplikasinya bagus banget, setiap kali kamu baca info tentang kesehatan kamu akan dapet poin yang bisa ditukar dengan paket konsultasi lho... Pokoknya ini aplikasinya keren banget dech. .;-) Sukses terus ya, dan aku tunggu update.nya..",positif
90,yesdok,Sangat membantu sekali dengan ada nya aplikasi ini memudah kan konsultasi dan aplikasi YESDOK Memberikan sebuah landasan baru untuk saya dengan cepat mendapat kan pertolongan ketika adakeluhan tentang kesehatan saya.,positif
91,yesdok,"Aplikasi ini berguna sekali bagi orang orang yang membutuhkan akses kesehatan yang cepat tanpa terkendala waktu dan tempat. Selain itu, bisa juga berkonsultasi mudah dengan dokter-dokter yang menyenangkan. Download sekarang dan rasakan kemudahannya!",positif
92,yesdok,"Aplikasi nya bagus, sangat menbantu dalam mengontrol kesehatan diri sendiri dengan cepat dan praktis. Gak usah bingung bingung lagi buat jaga kesehatan.",positif
93,yesdok,"Aplikasi ini sangat membantu sekali pas lg isoman . Namun sayang sekali rekanan apotiknya K-24 sangat² buruk pengiriman obat lama , sekalinya dikirim obatnya ga sesuai pesanan . Pesan 2 botol dikirim 1 botol . Udh komplain dan chat K-24 tidak ada balasan . Sampai saat ini dana pun belum dikembalikan. Saran saya agar yesdok bekerja sama dengan banyak apotik biar ketersediaan dan pelayanan cepat . jadi customer lebih cepat dapat obatnya . Terimakasih 🙏",positif
94,yesdok,"Dengan tekhnologi yg semakin canggih, semua bisa dipermudah. Termasuk dengan adanya aplikasi yesdok ini, kita bisa semakin mudah untuk konsultasi dan hal hal lainnya yg berhubungan dengan kesehatan. Goodjob",positif
95,yesdok,Aplikasi ini sangat bermanfaat. Kesibukkan kita seringkali membuat kita jadi sering mengabaikan kondisi kesehatan. Padahal kesehatan itu sangat penting. Dengan aplikasi ini sangat membantu untuk tetap menjaga kesehatan tanpa ribet. Kita bisa konsultasi kapanpun bahkan dimanapun dengan dokter yang sangat ramah.,positif
96,yesdok,"Aplikasi yang sangat membantu dan memudahkan untuk mengontrol kesehatan apalagi selama masa pandemi seperti sekarang ini, dimana orang-orang masih takut untuk keluar rumah. Aplikasi ini berisi fitur yang cukup lengkap dan sangat informatif, dengan ketersediaan dokter umum dan spesialis berbagai macam penyakit. Aplikasi mudah diakses dan lancar.",positif
97,yesdok,"Aplikasi yang bermanfaat.. gak perlu repot jauh2 kedokter saat darurat , atau bisa digunakan pada saat santai sekedar nanya2 penyakit yang dirasakan Serius.. sangat bermanfaat , thankyou Yesdok sangat membantu.",positif
98,yesdok,"Aplikasinya Bagus banget pendaptarannya juga sangat gampang ,sangat bermanfaat bangt bagi saya ,saya bisa akses 24 jam di manapun dan kapanpun ,dan dokter nya juga terpercaya dan berpengalaman ,jadi setiap waktu saya bisa cek-in kondisi kesehatan ,makanya yg belum download aplikasi ini ,buruan download ,yesdok is very good 👍 👍👍👍👍👍👍",positif
99,yesdok,"Alhamdulillah dengan Adany app. Yesdok ini bisa lebih mudah untuk konsultasi mulai dr penanganan sampai ke pengobatan ,kapanpun dan dimanapun, tdak usah ke tempat,fast respon dan pemecahan masalahny juga cepat .pilihan dokter2 ny pun terbaik di indonesia .the best yesdok .",positif
100,yesdok,"Tampilan aplikasi nya sangat menarik dan tidak ribet, bisa melayani kapanpun dibutuhkan. Berkat aplikasi ini saya bisa mengerti kondisi saya sendiri bahkan dalam kegiatan sehari-hari.",positif
101,yesdok,"Aplikasi yes dok ini sangat bagus sekali untuk para pengguna aplikasi di play store, karena aplikasi ini bisa mengakomodir secara online keluhan pasien secara online. Berbagai bentuk keluhan khususnya untuk kesehatan bisa di tanyakan di aplikasi tersebut. Hanya saja fitur aplikasi ini belum begitu lengkap dan kurang menarik. Untuk itu tolong bisa di kembangkan kembali fitur dan fungsinya .",positif
102,yesdok,"aplikasinya baguss dan menarik, memudahkan kita untuk berkonsultasi dengan dokter kapan saja dimana saja, dan perkiraan diagnosisnya lebih cepat, aplikasi yesdok memang terpecaya..",positif
103,yesdok,Aplikasi yg pernah jadi ide khayalan saya dan benar terjadi. Terima kasih buat kamu-kamu yang merealisasikan dalam kehidupan nyata.. Sungguh sangat menjawab kebutuhan. (y),positif
104,yesdok,"Setiap klik baca artikel, selalu keluar aplikasi sendiri.",negatif
105,yesdok,"Aplikasi yang sangat kreatif, dan sangat menjadi pilihan karena tidak perlu lagi mendaftar untuk berobat seperti di praktek dokter offline, dan tidak perlu lagi mengantri, keren aplikasi ini, semoga kedepannya tambah berkembang lagi aplikasi ini",positif
106,yesdok,Terimakasih YesDok dengan adanya aplikasi ini saya bisa konsultasi dokter kapan pun disaat dibutuhkan apalagi pas lagi darurat dan gak bisa pergi ke klinik atau RS karena jauh juga tinggal buka aplikasi YesDok konsultasi nya juga mudah dan tenaga dokternya standby 24 jam pokoknya membantu banget deh recommended..,positif
107,yesdok,Aplikasi ini sangat membantu bagi yg kurang paham tentang arti sehat.... Aplikasi ini juga mengajarkan kita utk tetap selalu mengerti kesehatan untuk kita dan orang lain.saya sangat setuju dgn adanya aplikasi ini karena sangat padat isinya dan kita juga bisa bertanya langsung tentang penyakit dan cara mengobatinya.kita juga bisa perbanyak ilmu tentang kesehatan. Krn para dokter nya sangat open untuk menjawab semua keluhan dan pertanyaan seputar penyakit yang menular dan tidak menular.terima kasi,positif
